Steno~~~402
structure  STRAUBGT
focus  TPOE/KUS
knowledge  TPHOEPBLG
provide  PROEFD
simple  S*EUPL
domestic  TKO/PHES/TEUBG
online  AUN/HRAOEUPB
direction  TKREBGS
activity  ABG/TEUFT
their	THAEUR
abbreviation	A/PWRAOEF/KWRAEUGS
search	SEFRPB
answer	AEPBS
ask	SK
capacity	KPAS/TEU
material	PHA/TAOER/KWRAL
transaction	TRAPBS/-BGS
definition	TKEF/TPHEUGS
today	TOED
divide	TKEU/SRAOEUD
different	TKEUFRPBT
accurate	ABG/KWRAOU/RAT
however	HOEFR
society	SO/SAOEU/TEU
together	TOGT
treasurer	TRERB/RER
experience	EBGS/PAOERPBS
list	HR*EUS
next	TPH*EBGS
many	PHAEPB
develop	TKE/SREL/OP
superannuation  SAOUP/AEPB/WAEUGS
[  PWRBGT
]  PWR*BGT
approvals	A/PROFLS
Mia	PHAOE/KWRA
schedule	SKED
agenda	A/SKWREPB/TKA
necessary	TPHES
(  PREPB
)  PR*EPB
introduction	EUPB/TROE/TKUBGS
previous	PRAOEF
query	KWAO*ER
Unicode	AOUPB/KOED
previous	PRAOEF
